index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
0,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,2022
1,0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,2022
2,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,2022
3,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,2022
4,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,2022
5,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,2022
6,0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,2022
7,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,2022
8,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,2022
9,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,2022
10,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,2022
11,0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27,2022
12,0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,2022
13,0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,2022
14,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,2022
15,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,2022
16,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,2022
17,0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,2022
18,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,2022
19,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,2022
20,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,2022
21,0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,2022
22,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,2022
23,0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42,2022
24,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4,2022
25,0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44,2022
26,0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,2022
27,0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52,2022
28,0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,2022
29,0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76,2022
30,0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75,2022
31,0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71,2022
32,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,2022
33,0.25,Very Good,E,VS2,63.3,60.0,4.0,4.03,2.54,2022
34,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,2022
35,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,2022
36,0.22,Premium,D,VS2,59.3,62.0,3.91,3.88,2.31,2022
37,0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63,2022
38,0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67,2022
39,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,2022
40,0.3,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66,2022
41,0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69,2022
42,0.3,Ideal,D,SI1,62.1,56.0,4.3,4.33,2.68,2022
43,0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96,2022
44,0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73,2022
45,0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68,2022
46,0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45,2022
47,0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7,2022
48,0.3,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68,2022
49,0.3,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67,2022
50,0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49,2022
51,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,2022
52,0.26,Very Good,E,VVS1,63.4,59.0,4.0,4.04,2.55,2022
53,0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,2022
54,0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54,2022
55,0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,2022
56,0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44,2022
57,0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46,2022
58,0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73,2022
59,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2022
60,0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52,2022
61,0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56,2022
62,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,2022
63,0.96,Fair,F,SI2,66.3,62.0,6.27,5.95,4.07,2022
64,0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56,2022
65,0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,2022
66,0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59,2022
67,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,2022
68,0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63,2022
69,0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67,2022
